Date,District,Block,Panchayat,Mouza,Type,Source,Hamlet,Lab,Code,Arsenic,TDS,Salinity,Fluoride,Iron,TC,FC,PH,Hardness 
8/7/2010,Murshidabad ,RANINAGAR-II,MALIBARI-II,Mulibari ,PUBLIC,TW,Dewanpara,Rural National Club,99,0.1035,,,,4.7974,17,6,7.37,340 
8/7/2010,Murshidabad ,RANINAGAR-II,MALIBARI-II,Mulibari ,PUBLIC,TW,Dewanpara,Rural National Club,104,0.4779,,,,6.3077,70,17,7.24,400 
5/7/2010,Murshidabad ,SUTI-I,NURPUR,Ramakantapur ,PUBLIC,TW,Ramakantopur,PHED,94,0.044,,,,1.89,9,2,7.35,190 
5/7/2010,Murshidabad ,SUTI-I,NURPUR,Naya Bahadurpur ,PUBLIC,TW,Kantantala,PHED,85,0.113,,,,4.47,0,0,7.41,300 
5/7/2010,Murshidabad ,SUTI-I,NURPUR,Naya Bahadurpur ,PUBLIC,TW,Kantantala,PHED,84,0.0181,,,,4.31,2,0,7.5,280 
5/7/2010,Murshidabad ,SUTI-I,NURPUR,Naya Bahadurpur ,PUBLIC,TW,Kantantala,PHED,83,0.0651,,,,2.57,0,0,7.7,240 
5/7/2010,Murshidabad ,SUTI-I,NURPUR,Naya Bahadurpur ,PUBLIC,TW,Kantantala,PHED,86,0.1082,,,,2.65,4,0,7.33,300 
5/7/2010,Murshidabad ,SUTI-I,NURPUR,Naya Bahadurpur ,PUBLIC,TW,Kantantala,PHED,87,0.0889,,,,2.8,4,0,7.45,290 
5/7/2010,Murshidabad ,SUTI-I,NURPUR,Naya Bahadurpur ,PUBLIC,TW,Ramakantopur,PHED,90,0.1102,,,,3.15,0,0,7.2,250 
5/7/2010,Murshidabad ,SUTI-I,NURPUR,Naya Bahadurpur ,PUBLIC,TW,Ramakantopur,PHED,93,0.0458,,,,3.87,0,0,7.48,260 
5/7/2010,Murshidabad ,SUTI-I,NURPUR,Naya Bahadurpur ,PUBLIC,TW,Ramakantopur,PHED,92,3.08,,,,3.21,2,0,7.41,280 
5/7/2010,Murshidabad ,SUTI-I,NURPUR,Ramakantapur ,PUBLIC,TW,Ramakantopur,PHED,95,0.1249,,,,1.14,0,0,7.45,200 
5/7/2010,Murshidabad ,SUTI-I,NURPUR,Ramakantapur ,PUBLIC,TW,Ramakantopur,PHED,96,0.0846,,,,4.82,0,0,7.29,220 
5/7/2010,Murshidabad ,SUTI-I,NURPUR,Ramakantapur ,PUBLIC,TW,Nayabahadupur,PHED,97,0.0674,,,,0.95,7,0,7.39,310 
5/7/2010,Murshidabad ,SUTI-I,NURPUR,Naya Bahadurpur ,PUBLIC,TW,Kantantala,PHED,88,0.0375,,,,4.06,2,0,7.32,330 
